,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
0,sample_1,CC(N)=O,1.58,25,298.15,0.997,,
1,sample_2,CNN,1.34,25,298.15,0.997,,
2,sample_3,CC(=O)O,1.22,25,298.15,0.997,,
3,sample_4,C1CCNC1,1.15,25,298.15,0.997,,
4,sample_5,NC(=O)NO,1.12,25,298.15,0.997,,
5,sample_6,OCC(O)CO,1.12,25,298.15,0.997,,
6,sample_7,CC(=O)N(C)C,1.11,25,298.15,0.997,,
7,sample_8,c1ccnnc1,1.10,25,298.15,0.997,,
8,sample_9,c1cncnc1,1.10,25,298.15,0.997,,
9,sample_10,OCC(O)C(O)C(O)C(O)CO,1.09,25,298.15,0.997,,
10,sample_11,CC(N)CC(=O)O,1.08,25,298.15,0.997,,
11,sample_12,C1CNCCN1,1.07,25,298.15,0.997,,
12,sample_13,C1CCNCC1,1.07,25,298.15,0.997,,
13,sample_14,Oc1ccncc1,1.02,25,298.15,0.997,,
14,sample_15,Oc1ccccn1,1.02,25,298.15,0.997,,
15,sample_16,O=C(O)CCCC(=O)O,1.00,25,298.15,0.997,,
16,sample_17,CN1CCOCC1,1.00,25,298.15,0.997,,
17,sample_18,COC(N)=O,0.97,25,298.15,0.997,,
18,sample_19,Cn1ccccc1=O,0.96,25,298.15,0.997,,
19,sample_20,O=C(O)CCl,0.93,25,298.15,0.997,,
20,sample_21,CCOC(N)=O,0.85,25,298.15,0.997,,
21,sample_22,COC(=O)C1=CCCN(C)C1,0.81,25,298.15,0.997,,
22,sample_23,Oc1cccc(O)c1,0.81,25,298.15,0.997,,
23,sample_24,c1ccncc1,0.76,25,298.15,0.997,,
24,sample_25,CC1CNCCN1,0.74,25,298.15,0.997,,
25,sample_26,OCC1(O)OCC(O)C(O)C1O,0.64,25,298.15,0.997,,
26,sample_27,Oc1ccccc1O,0.62,25,298.15,0.997,,
27,sample_28,NC(=O)c1cccnc1,0.61,25,298.15,0.997,,
28,sample_29,O=c1ccnc[nH]1,0.59,25,298.15,0.997,,
29,sample_30,CCC=O,0.58,25,298.15,0.997,,
30,sample_31,COC=O,0.58,25,298.15,0.997,,
31,sample_32,C=CC=O,0.57,25,298.15,0.997,,
32,sample_33,C1CCOC1,0.56,25,298.15,0.997,,
33,sample_34,CCC(C)=O,0.52,25,298.15,0.997,,
34,sample_35,CC1CNC(C)CN1,0.49,25,298.15,0.997,,
35,sample_36,COCOC,0.48,25,298.15,0.997,,
36,sample_37,Cc1cccc(C)n1,0.45,25,298.15,0.997,,
37,sample_38,Cc1ccc(C)nc1,0.40,25,298.15,0.997,,
38,sample_39,OC1COC(O)C(O)C1O,0.39,25,298.15,0.997,,
39,sample_40,Cc1ccnc(C)c1,0.38,25,298.15,0.997,,
40,sample_41,Cc1cccnc1C,0.38,25,298.15,0.997,,
41,sample_42,O=c1cccc2n1CC1CNCC2C1,0.36,25,298.15,0.997,,
42,sample_43,OC1C(O)C(O)C(O)C(O)C1O,0.35,25,298.15,0.997,,
43,sample_44,CC=CC=O,0.32,25,298.15,0.997,,
44,sample_45,CCC(N)C(=O)O,0.31,25,298.15,0.997,,
45,sample_46,O=C1CCC(=O)N1,0.30,25,298.15,0.997,,
46,sample_47,CC(C)C(=O)O,0.28,25,298.15,0.997,,
47,sample_48,CN1CCCCC1,0.23,25,298.15,0.997,,
48,sample_49,CC(=O)CC(C)=O,0.22,25,298.15,0.997,,
49,sample_50,CCOC=O,0.15,25,298.15,0.997,,
50,sample_51,C=CC#N,0.15,25,298.15,0.997,,
51,sample_52,CC1CCCO1,0.11,25,298.15,0.997,,
52,sample_53,CC(C)(C)OC(N)=O,0.10,25,298.15,0.997,,
53,sample_54,CCC(C)(C)O,0.08,25,298.15,0.997,,
54,sample_55,NNc1ccccc1,0.07,25,298.15,0.997,,
55,sample_56,CC(C)CO,0.04,25,298.15,0.997,,
56,sample_57,CCS(=O)(=O)CC,0.04,25,298.15,0.997,,
57,sample_58,c1cnc2ncncc2n1,0.02,25,298.15,0.997,,
58,sample_59,NNC(=O)c1ccncc1,0.01,25,298.15,0.997,,
59,sample_60,Oc1ccccc1,0.00,25,298.15,0.997,,
60,sample_61,CCCC=O,-0.01,25,298.15,0.997,,
61,sample_62,CN1C2CCC1C(C(=O)O)C(O)C2,-0.02,25,298.15,0.997,,
62,sample_63,C1CCOCC1,-0.03,25,298.15,0.997,,
63,sample_64,CCC1NC(=O)NC1=O,-0.06,25,298.15,0.997,,
64,sample_65,Cc1cc(O)no1,-0.07,25,298.15,0.997,,
65,sample_66,CC(O)C(N)C(=O)O,-0.09,25,298.15,0.997,,
66,sample_67,CCOCC,-0.09,25,298.15,0.997,,
67,sample_68,O=Cc1ccco1,-0.10,25,298.15,0.997,,
68,sample_69,Cc1ncc2nccnc2n1,-0.12,25,298.15,0.997,,
69,sample_70,CC(C)(S)C(N)C(=O)O,-0.13,25,298.15,0.997,,
70,sample_71,CCN(CC)CC,-0.14,25,298.15,0.997,,
71,sample_72,c1cc[nH]c1,-0.17,25,298.15,0.997,,
72,sample_73,OC1CC(O)C(O)C(O)C1O,-0.17,25,298.15,0.997,,
73,sample_74,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17,25,298.15,0.997,,
74,sample_75,O=NN1CCCCC1,-0.17,25,298.15,0.997,,
75,sample_76,CCCC(C)=O,-0.19,25,298.15,0.997,,
76,sample_77,CCCC(=O)O,-0.19,25,298.15,0.997,,
77,sample_78,CN(C)NC(=O)CCC(=O)O,-0.20,25,298.15,0.997,,
78,sample_79,O=C(O)CCC(=O)O,-0.20,25,298.15,0.997,,
79,sample_80,CC(C)C(C)O,-0.20,25,298.15,0.997,,
80,sample_81,C=CC(=O)OC,-0.22,25,298.15,0.997,,
81,sample_82,CCC(O)CC,-0.24,25,298.15,0.997,,
82,sample_83,O=C(O)C1C2CCC(O2)C1C(=O)O,-0.27,25,298.15,0.997,,
83,sample_84,CCCC(C)O,-0.29,25,298.15,0.997,,
84,sample_85,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29,25,298.15,0.997,,
85,sample_86,N#CCCCl,-0.29,25,298.15,0.997,,
86,sample_87,OCc1ccccc1O,-0.29,25,298.15,0.997,,
87,sample_88,CC(C)COC(N)=O,-0.30,25,298.15,0.997,,
88,sample_89,N#CN=C(N)N,-0.31,25,298.15,0.997,,
89,sample_90,CCC(C)(O)CC,-0.38,25,298.15,0.997,,
90,sample_91,Nc1ccc(N)cc1,-0.38,25,298.15,0.997,,
91,sample_92,CCCOC,-0.39,25,298.15,0.997,,
92,sample_93,CC(C)C(C)CO,-0.39,25,298.15,0.997,,
93,sample_94,OCc1ccccc1,-0.40,25,298.15,0.997,,
94,sample_95,CSCCC(N)C(=O)O,-0.42,25,298.15,0.997,,
95,sample_96,Nc1ccccc1N,-0.42,25,298.15,0.997,,
96,sample_97,CNC(C)C(O)c1ccccc1,-0.42,25,298.15,0.997,,
97,sample_98,OC1CCCCC1,-0.44,25,298.15,0.997,,
98,sample_99,CC(=O)CC1CCCCN1,-0.45,25,298.15,0.997,,
99,sample_100,Oc1cccnc1,-0.46,25,298.15,0.997,,
100,sample_101,COC(=O)c1cccnc1,-0.46,25,298.15,0.997,,
101,sample_102,Cc1ncnc2nccnc12,-0.47,25,298.15,0.997,,
102,sample_103,NCC(O)c1ccccc1,-0.48,25,298.15,0.997,,
103,sample_104,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48,25,298.15,0.997,,
104,sample_105,CCCOC=O,-0.49,25,298.15,0.997,,
105,sample_106,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.50,25,298.15,0.997,,
106,sample_107,CC(C)(C)CCO,-0.50,25,298.15,0.997,,
107,sample_108,NC(Cc1c[nH]cn1)C(=O)O,-0.53,25,298.15,0.997,,
108,sample_109,CCCC(O)C(CC)CO,-0.54,25,298.15,0.997,,
109,sample_110,NC(=O)CCC(N)C(=O)O,-0.55,25,298.15,0.997,,
110,sample_111,CC1CO1,-0.59,25,298.15,0.997,,
111,sample_112,O=C1CCCCC1,-0.60,25,298.15,0.997,,
112,sample_113,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.60,25,298.15,0.997,,
113,sample_114,CC(O)C(C)(C)C,-0.62,25,298.15,0.997,,
114,sample_115,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63,25,298.15,0.997,,
115,sample_116,ClCCl,-0.63,25,298.15,0.997,,
116,sample_117,CCCCOC(N)=O,-0.66,25,298.15,0.997,,
117,sample_118,CCCOCC,-0.66,25,298.15,0.997,,
118,sample_119,CCOC(=O)CC,-0.66,25,298.15,0.997,,
119,sample_120,Cc1cccc(O)c1,-0.68,25,298.15,0.997,,
120,sample_121,O=CNc1ccccc1,-0.68,25,298.15,0.997,,
121,sample_122,Oc1ccc(Cl)cc1,-0.70,25,298.15,0.997,,
122,sample_123,Oc1cccc(Cl)c1,-0.70,25,298.15,0.997,,
123,sample_124,Cc1ccc(O)cc1,-0.70,25,298.15,0.997,,
124,sample_125,CCC(O)C(C)C,-0.70,25,298.15,0.997,,
125,sample_126,OCCOc1ccccc1,-0.71,25,298.15,0.997,,
126,sample_127,CCC(C)C(C)O,-0.72,25,298.15,0.997,,
127,sample_128,CCCOC(C)=O,-0.72,25,298.15,0.997,,
128,sample_129,CC(C)(C)C(C)(C)O,-0.72,25,298.15,0.997,,
129,sample_130,Nc1ccccc1O,-0.72,25,298.15,0.997,,
130,sample_131,OCCN(CCO)c1ccccc1,-0.73,25,298.15,0.997,,
131,sample_132,C=CC(=O)OCC,-0.74,25,298.15,0.997,,
132,sample_133,O=[N+]([O-])c1ccc(O)cc1,-0.74,25,298.15,0.997,,
133,sample_134,ONc1ccccc1,-0.74,25,298.15,0.997,,
134,sample_135,NC(=O)CC(N)C(=O)O,-0.74,25,298.15,0.997,,
135,sample_136,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,25,298.15,0.997,,
136,sample_137,CCOCCOCC,-0.77,25,298.15,0.997,,
137,sample_138,c1ccc2[nH]nnc2c1,-0.78,25,298.15,0.997,,
138,sample_139,Nc1ccc(O)cc1,-0.80,25,298.15,0.997,,
139,sample_140,Cn1ccc(=O)[nH]c1=O,-0.80,25,298.15,0.997,,
140,sample_141,CCCC(O)CC,-0.80,25,298.15,0.997,,
141,sample_142,C=C(C)C(=O)OC,-0.80,25,298.15,0.997,,
142,sample_143,CC(C)(C)COC(N)=O,-0.80,25,298.15,0.997,,
143,sample_144,CCOC(=O)CC(=O)OCC,-0.82,25,298.15,0.997,,
144,sample_145,c1ccoc1,-0.82,25,298.15,0.997,,
145,sample_146,CCCC(=O)OC,-0.82,25,298.15,0.997,,
146,sample_147,C=CCSS(=O)CC=C,-0.83,25,298.15,0.997,,
147,sample_148,C=CC(=O)CCC,-0.83,25,298.15,0.997,,
148,sample_149,O=C(O)c1cccnc1,-0.84,25,298.15,0.997,,
149,sample_150,CCCCC=O,-0.85,25,298.15,0.997,,
150,sample_151,CN(N=O)C(N)=O,-0.85,25,298.15,0.997,,
151,sample_152,C=COCC,-0.85,25,298.15,0.997,,
152,sample_153,Cc1cccc(N)c1,-0.85,25,298.15,0.997,,
153,sample_154,CCC(O)(CC)CC,-0.85,25,298.15,0.997,,
154,sample_155,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,25,298.15,0.997,,
155,sample_156,O=Cc1ccccc1O,-0.86,25,298.15,0.997,,
156,sample_157,Clc1cnc2cncnc2n1,-0.87,25,298.15,0.997,,
157,sample_158,CC1CCC(O)CC1,-0.88,25,298.15,0.997,,
158,sample_159,CCCC(C(C)=O)C(C)=O,-0.88,25,298.15,0.997,,
159,sample_160,ClCBr,-0.89,25,298.15,0.997,,
160,sample_161,O=C(O)Cc1ccccc1,-0.89,25,298.15,0.997,,
161,sample_162,CC(=O)NC(N)=O,-0.90,25,298.15,0.997,,
162,sample_163,COc1cnc2cncnc2n1,-0.91,25,298.15,0.997,,
163,sample_164,CC(O)c1ccccc1,-0.92,25,298.15,0.997,,
164,sample_165,CC(C)CC(C)(C)O,-0.92,25,298.15,0.997,,
165,sample_166,CCOC(=O)CCC(=O)OCC,-0.96,25,298.15,0.997,,
166,sample_167,CC=CCC#N,-0.96,25,298.15,0.997,,
167,sample_168,NC(=O)c1ccccc1,-0.96,25,298.15,0.997,,
168,sample_169,O=Cc1ccc(O)cc1,-0.96,25,298.15,0.997,,
169,sample_170,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97,25,298.15,0.997,,
170,sample_171,CC(=O)Nc1ccc(N)cc1,-0.98,25,298.15,0.997,,
171,sample_172,O=C1C=CC(=O)C=C1,-0.99,25,298.15,0.997,,
172,sample_173,CCCCOC,-0.99,25,298.15,0.997,,
173,sample_174,CI,-1.00,25,298.15,0.997,,
174,sample_175,CCCC(C)(O)CC,-1.00,25,298.15,0.997,,
175,sample_176,CC(C)COC=O,-1.01,25,298.15,0.997,,
176,sample_177,CC(=O)Nc1ccc(O)cc1,-1.03,25,298.15,0.997,,
177,sample_178,c1ccc2c(c1)CCN2,-1.04,25,298.15,0.997,,
178,sample_179,O=c1[nH]cc(F)c(=O)[nH]1,-1.07,25,298.15,0.997,,
179,sample_180,CCCCC(C)(C)O,-1.08,25,298.15,0.997,,
180,sample_181,Oc1ccc(Br)cc1,-1.09,25,298.15,0.997,,
181,sample_182,CCBr,-1.09,25,298.15,0.997,,
182,sample_183,CC(C)OC(C)C,-1.10,25,298.15,0.997,,
183,sample_184,O=C(O)COc1ccccc1,-1.10,25,298.15,0.997,,
184,sample_185,COc1ncc2nccnc2n1,-1.11,25,298.15,0.997,,
185,sample_186,COc1ncnc2nccnc12,-1.11,25,298.15,0.997,,
186,sample_187,NCCc1ccc(O)cc1,-1.12,25,298.15,0.997,,
187,sample_188,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,25,298.15,0.997,,
188,sample_189,CC(C)CCCO,-1.14,25,298.15,0.997,,
189,sample_190,Nc1cc[nH]c(=O)n1,-1.14,25,298.15,0.997,,
190,sample_191,c1ccc2ocnc2c1,-1.16,25,298.15,0.997,,
191,sample_192,O=S(CCCl)CCCl,-1.16,25,298.15,0.997,,
192,sample_193,CCC(CC)CO,-1.17,25,298.15,0.997,,
193,sample_194,ClC(Cl)Cl,-1.17,25,298.15,0.997,,
194,sample_195,Cc1ccc(O)c(C)c1,-1.19,25,298.15,0.997,,
195,sample_196,O=Cc1ccccc1,-1.19,25,298.15,0.997,,
196,sample_197,Cc1ccc(CO)cc1,-1.20,25,298.15,0.997,,
197,sample_198,COC(=O)C1C2C=CC(C2)C1C(=O)OC,-1.20,25,298.15,0.997,,
198,sample_199,C=CC(=O)OCC(C)C,-1.21,25,298.15,0.997,,
199,sample_200,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22,25,298.15,0.997,,
200,sample_201,CC(C)C(O)C(C)C,-1.22,25,298.15,0.997,,
201,sample_202,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23,25,298.15,0.997,,
202,sample_203,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23,25,298.15,0.997,,
203,sample_204,CCCCOC(C)=O,-1.24,25,298.15,0.997,,
204,sample_205,CCCCCCO,-1.24,25,298.15,0.997,,
205,sample_206,O=C1NC(=O)C(=O)C(=O)N1,-1.25,25,298.15,0.997,,
206,sample_207,CCC(C)(O)C(C)(C)C,-1.27,25,298.15,0.997,,
207,sample_208,CC(=O)c1ccccc1,-1.28,25,298.15,0.997,,
208,sample_209,CC(=O)c1cccc(N)c1,-1.28,25,298.15,0.997,,
209,sample_210,CCCC(=O)OCC,-1.28,25,298.15,0.997,,
210,sample_211,CC(Cl)Cl,-1.29,25,298.15,0.997,,
211,sample_212,COc1ccc(NC(C)=O)cc1,-1.30,25,298.15,0.997,,
212,sample_213,c1ccc2ncccc2c1,-1.30,25,298.15,0.997,,
213,sample_214,CCCCCC=O,-1.30,25,298.15,0.997,,
214,sample_215,ClCCBr,-1.32,25,298.15,0.997,,
215,sample_216,CC(=O)Nc1ccccc1,-1.33,25,298.15,0.997,,
216,sample_217,CC(=O)CCC(C)C,-1.33,25,298.15,0.997,,
217,sample_218,CCc1ccccc1O,-1.36,25,298.15,0.997,,
218,sample_219,CCCCC(=O)OC,-1.36,25,298.15,0.997,,
219,sample_220,N=C(N)N[N+](=O)[O-],-1.37,25,298.15,0.997,,
220,sample_221,Nc1cccc(Cl)c1,-1.37,25,298.15,0.997,,
221,sample_222,OCCCc1ccccc1,-1.38,25,298.15,0.997,,
222,sample_223,CC(C)CCC(C)O,-1.38,25,298.15,0.997,,
223,sample_224,CCC1(CC)C(=O)NC(=O)NC1=O,-1.39,25,298.15,0.997,,
224,sample_225,Cc1cc(C)cc(O)c1,-1.40,25,298.15,0.997,,
225,sample_226,CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.40,25,298.15,0.997,,
226,sample_227,CC(=O)Nc1ccccc1Cl,-1.40,25,298.15,0.997,,
227,sample_228,CCCC(O)CCC,-1.40,25,298.15,0.997,,
228,sample_229,O=C(O)CCc1ccccc1,-1.41,25,298.15,0.997,,
229,sample_230,CCCCCC(C)=O,-1.42,25,298.15,0.997,,
230,sample_231,c1ccc(-c2ccccn2)nc1,-1.42,25,298.15,0.997,,
231,sample_232,Cc1cccc(O)c1C,-1.43,25,298.15,0.997,,
232,sample_233,CCCCNCCCC,-1.44,25,298.15,0.997,,
233,sample_234,c1ccsc1,-1.45,25,298.15,0.997,,
234,sample_235,c1ccc2cnccc2c1,-1.45,25,298.15,0.997,,
235,sample_236,O=C(O)c1ccsc1,-1.47,25,298.15,0.997,,
236,sample_237,CCCCl,-1.47,25,298.15,0.997,,
237,sample_238,ClCC(Cl)Cl,-1.48,25,298.15,0.997,,
238,sample_239,COc1ccc(C=O)cc1,-1.49,25,298.15,0.997,,
239,sample_240,O=S(=O)(CCCl)CCCl,-1.50,25,298.15,0.997,,
240,sample_241,N=C(N)NCC(=O)O,-1.51,25,298.15,0.997,,
241,sample_242,c1ccc2[nH]ccc2c1,-1.52,25,298.15,0.997,,
242,sample_243,CCCC(C)(C)CO,-1.52,25,298.15,0.997,,
243,sample_244,Nc1ccccc1C(=O)O,-1.52,25,298.15,0.997,,
244,sample_245,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52,25,298.15,0.997,,
245,sample_246,NCc1ccccc1,-1.53,25,298.15,0.997,,
246,sample_247,c1cc(-c2ccncc2)ccn1,-1.54,25,298.15,0.997,,
247,sample_248,Cc1ccc(C)c(O)c1,-1.54,25,298.15,0.997,,
248,sample_249,CC(C)(C)CCCO,-1.55,25,298.15,0.997,,
249,sample_250,O=C(O)c1ccccc1,-1.55,25,298.15,0.997,,
250,sample_251,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55,25,298.15,0.997,,
251,sample_252,CSc1cnc2cncnc2n1,-1.55,25,298.15,0.997,,
252,sample_253,Oc1ccc(Cl)cc1Cl,-1.55,25,298.15,0.997,,
253,sample_254,CCCCCC(C)O,-1.55,25,298.15,0.997,,
254,sample_255,CCCCC(=O)CC(C)=O,-1.56,25,298.15,0.997,,
255,sample_256,C=CCc1ccc(O)c(OC)c1,-1.56,25,298.15,0.997,,
256,sample_257,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56,25,298.15,0.997,,
257,sample_258,Cc1cc(O)ccc1Cl,-1.57,25,298.15,0.997,,
258,sample_259,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,25,298.15,0.997,,
259,sample_260,CC(=O)Nc1ccc(C=O)cc1,-1.58,25,298.15,0.997,,
260,sample_261,COC(=O)c1ccc(N)cc1,-1.59,25,298.15,0.997,,
261,sample_262,c1ccc(C2CO2)cc1,-1.60,25,298.15,0.997,,
262,sample_263,CC(Cl)CCl,-1.60,25,298.15,0.997,,
263,sample_264,CC(=O)CC(=O)CC(C)C,-1.60,25,298.15,0.997,,
264,sample_265,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.60,25,298.15,0.997,,
265,sample_266,O=C(O)c1ccccc1C(F)(F)F,-1.60,25,298.15,0.997,,
266,sample_267,CC(C)CC(C)CO,-1.60,25,298.15,0.997,,
267,sample_268,CN(C)C(=O)Nc1ccccc1,-1.60,25,298.15,0.997,,
268,sample_269,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61,25,298.15,0.997,,
269,sample_270,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61,25,298.15,0.997,,
270,sample_271,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,25,298.15,0.997,,
271,sample_272,C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62,25,298.15,0.997,,
272,sample_273,ClCCCCl,-1.62,25,298.15,0.997,,
273,sample_274,CCCOCCC,-1.62,25,298.15,0.997,,
274,sample_275,O=Cc1ccc2c(c1)OCO2,-1.63,25,298.15,0.997,,
275,sample_276,c1ccccc1,-1.64,25,298.15,0.997,,
276,sample_277,C=C(Cl)Cl,-1.64,25,298.15,0.997,,
277,sample_278,O=C1NS(=O)(=O)c2ccccc21,-1.64,25,298.15,0.997,,
278,sample_279,CC12CCC(CC1)C(C)(C)O2,-1.64,25,298.15,0.997,,
279,sample_280,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,25,298.15,0.997,,
280,sample_281,Nc1ccc(Cl)cc1,-1.66,25,298.15,0.997,,
281,sample_282,CCCC(C)(COC(N)=O)COC(N)=O,-1.67,25,298.15,0.997,,
282,sample_283,CC(=O)OC1CCCCC1,-1.67,25,298.15,0.997,,
283,sample_284,O=C(O)c1cccc([N+](=O)[O-])c1,-1.68,25,298.15,0.997,,
284,sample_285,BrCCBr,-1.68,25,298.15,0.997,,
285,sample_286,COc1c(Cl)ccc(Cl)c1C(=O)O,-1.70,25,298.15,0.997,,
286,sample_287,CCNc1ccccc1,-1.70,25,298.15,0.997,,
287,sample_288,CCCCCCC=O,-1.70,25,298.15,0.997,,
288,sample_289,FC(F)(F)C(Cl)Br,-1.71,25,298.15,0.997,,
289,sample_290,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71,25,298.15,0.997,,
290,sample_291,CCCCCC(C)(C)O,-1.72,25,298.15,0.997,,
291,sample_292,CCCCC(C)C(C)O,-1.72,25,298.15,0.997,,
292,sample_293,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73,25,298.15,0.997,,
293,sample_294,CCCBr,-1.73,25,298.15,0.997,,
294,sample_295,O=[N+]([O-])c1ccccc1O,-1.74,25,298.15,0.997,,
295,sample_296,ClC(Cl)C(Cl)Cl,-1.74,25,298.15,0.997,,
296,sample_297,Cc1ccc(S(N)(=O)=O)cc1,-1.74,25,298.15,0.997,,
297,sample_298,CCCCC(=O)OCC,-1.75,25,298.15,0.997,,
298,sample_299,CSc1ncc2nccnc2n1,-1.76,25,298.15,0.997,,
299,sample_300,NC(=O)c1ccccc1O,-1.76,25,298.15,0.997,,
300,sample_301,CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76,25,298.15,0.997,,
301,sample_302,CC=CC=CC(=O)O,-1.77,25,298.15,0.997,,
302,sample_303,NC(=S)Nc1ccccc1,-1.77,25,298.15,0.997,,
303,sample_304,O=C1CSC(=S)N1,-1.77,25,298.15,0.997,,
304,sample_305,COC(=O)c1ccc(O)cc1,-1.78,25,298.15,0.997,,
305,sample_306,CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78,25,298.15,0.997,,
306,sample_307,CC(=O)Nc1ccc(F)cc1,-1.78,25,298.15,0.997,,
307,sample_308,O=[N+]([O-])c1ccccc1,-1.80,25,298.15,0.997,,
308,sample_309,CNC(=O)Oc1cccc(C)c1,-1.80,25,298.15,0.997,,
309,sample_310,Fc1ccccc1,-1.80,25,298.15,0.997,,
