,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
310,sample_311,CCCCCCCO,-1.81,25,298.15,0.997,,
311,sample_312,O=C(O)c1ccccc1O,-1.82,25,298.15,0.997,,
312,sample_313,CCC(=O)c1ccccc1,-1.83,25,298.15,0.997,,
313,sample_314,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83,25,298.15,0.997,,
314,sample_315,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84,25,298.15,0.997,,
315,sample_316,CCCCOCCCC,-1.85,25,298.15,0.997,,
316,sample_317,COc1ccccc1,-1.85,25,298.15,0.997,,
317,sample_318,CCCC(CCC)C(=O)O,-1.86,25,298.15,0.997,,
318,sample_319,COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87,25,298.15,0.997,,
319,sample_320,CC1CCCC(=O)C1,-1.87,25,298.15,0.997,,
320,sample_321,C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89,25,298.15,0.997,,
321,sample_322,CCCCCOC(C)=O,-1.89,25,298.15,0.997,,
322,sample_323,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89,25,298.15,0.997,,
323,sample_324,COc1ccc2c(c1OC)C(=O)OC2,-1.89,25,298.15,0.997,,
324,sample_325,O=C(O)CCCCCCCC(=O)O,-1.89,25,298.15,0.997,,
325,sample_326,ClC(Br)Br,-1.90,25,298.15,0.997,,
326,sample_327,BrC(Br)Br,-1.91,25,298.15,0.997,,
327,sample_328,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91,25,298.15,0.997,,
328,sample_329,CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91,25,298.15,0.997,,
329,sample_330,CCCOC(=O)CCC,-1.92,25,298.15,0.997,,
330,sample_331,COc1ccc(C=O)c(C(=O)O)c1OC,-1.92,25,298.15,0.997,,
331,sample_332,CCCCCCOC(N)=O,-1.92,25,298.15,0.997,,
332,sample_333,CN(C)c1ccccc1,-1.92,25,298.15,0.997,,
333,sample_334,CCC(=O)Nc1ccccc1,-1.92,25,298.15,0.997,,
334,sample_335,CC(=O)OCCC(C)C,-1.92,25,298.15,0.997,,
335,sample_336,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93,25,298.15,0.997,,
336,sample_337,OC(c1ccccc1)C(O)c1ccccc1,-1.93,25,298.15,0.997,,
337,sample_338,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94,25,298.15,0.997,,
338,sample_339,Cc1ccc2ccc(C)nc2c1,-1.94,25,298.15,0.997,,
339,sample_340,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,25,298.15,0.997,,
340,sample_341,COc1ccccc1[N+](=O)[O-],-1.96,25,298.15,0.997,,
341,sample_342,O=C(O)C=Cc1c[nH]cn1,-1.96,25,298.15,0.997,,
342,sample_343,CCC(C)Cl,-1.96,25,298.15,0.997,,
343,sample_344,Nc1ccccc1[N+](=O)[O-],-1.96,25,298.15,0.997,,
344,sample_345,C1=CCC=CC1,-1.97,25,298.15,0.997,,
345,sample_346,Oc1ccc2c(c1)CCCC2,-1.99,25,298.15,0.997,,
346,sample_347,CC(Cl)(Cl)Cl,-2.00,25,298.15,0.997,,
347,sample_348,Cc1ccccc1S(N)(=O)=O,-2.02,25,298.15,0.997,,
348,sample_349,CCCCCl,-2.03,25,298.15,0.997,,
349,sample_350,CCCCCCC(C)=O,-2.05,25,298.15,0.997,,
350,sample_351,CNC(=O)Oc1ccccc1OC(C)C,-2.05,25,298.15,0.997,,
351,sample_352,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06,25,298.15,0.997,,
352,sample_353,C=C(C(=O)O)c1ccccc1,-2.06,25,298.15,0.997,,
353,sample_354,C=C(C)C1CC=C(C)C(=O)C1,-2.06,25,298.15,0.997,,
354,sample_355,Cc1ccccc1C(=O)O,-2.06,25,298.15,0.997,,
355,sample_356,OC1CCN2C1=Nc1ccccc1C2O,-2.07,25,298.15,0.997,,
356,sample_357,O=C(O)Cc1c[nH]c2ccccc12,-2.07,25,298.15,0.997,,
357,sample_358,Cc1ccc(C(C)C)cc1O,-2.08,25,298.15,0.997,,
358,sample_359,CC(=O)Nc1cccc(C)c1,-2.09,25,298.15,0.997,,
359,sample_360,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,25,298.15,0.997,,
360,sample_361,CC(C)I,-2.09,25,298.15,0.997,,
361,sample_362,C=CCC=C,-2.09,25,298.15,0.997,,
362,sample_363,CCCCCCC(C)O,-2.09,25,298.15,0.997,,
363,sample_364,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09,25,298.15,0.997,,
364,sample_365,OCc1c(Cl)cccc1Cl,-2.10,25,298.15,0.997,,
365,sample_366,CCCCC(CC)CO,-2.11,25,298.15,0.997,,
366,sample_367,O=C(O)c1ccccc1C(=O)O,-2.11,25,298.15,0.997,,
367,sample_368,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.12,25,298.15,0.997,,
368,sample_369,Sc1ccccc1,-2.12,25,298.15,0.997,,
369,sample_370,Nc1ncnc2[nH]cnc12,-2.12,25,298.15,0.997,,
370,sample_371,CN1CSC(=S)N(C)C1,-2.13,25,298.15,0.997,,
371,sample_372,Cc1cccc(C(=O)O)c1,-2.14,25,298.15,0.997,,
372,sample_373,O=c1ccc2ccccc2[nH]1,-2.14,25,298.15,0.997,,
373,sample_374,CC(C)CNC(=O)N1CCNC1=O,-2.15,25,298.15,0.997,,
374,sample_375,C1=CC=CCC=C1,-2.15,25,298.15,0.997,,
375,sample_376,O=C(O)COc1ccccc1Cl,-2.16,25,298.15,0.997,,
376,sample_377,Oc1ccc2ncccc2c1,-2.16,25,298.15,0.997,,
377,sample_378,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,25,298.15,0.997,,
378,sample_379,CCOc1ccc(NC(N)=O)cc1,-2.17,25,298.15,0.997,,
379,sample_380,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.18,25,298.15,0.997,,
380,sample_381,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18,25,298.15,0.997,,
381,sample_382,ClCC(Cl)(Cl)Cl,-2.18,25,298.15,0.997,,
382,sample_383,O=[N+]([O-])c1ccc(C=NO)o1,-2.19,25,298.15,0.997,,
383,sample_384,Nc1cccc([N+](=O)[O-])c1,-2.19,25,298.15,0.997,,
384,sample_385,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21,25,298.15,0.997,,
385,sample_386,Cc1ccccc1,-2.21,25,298.15,0.997,,
386,sample_387,O=C(O)C(O)(c1ccccc1)c1ccccc1,-2.21,25,298.15,0.997,,
387,sample_388,Oc1cccc2ccccc12,-2.22,25,298.15,0.997,,
388,sample_389,Cc1ccc(C(C)C)c(O)c1,-2.22,25,298.15,0.997,,
389,sample_390,CC(Oc1ccccc1Cl)C(=O)O,-2.22,25,298.15,0.997,,
390,sample_391,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,25,298.15,0.997,,
391,sample_392,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,25,298.15,0.997,,
392,sample_393,Cc1cc(Cl)ccc1OCC(=O)O,-2.23,25,298.15,0.997,,
393,sample_394,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,25,298.15,0.997,,
394,sample_395,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24,25,298.15,0.997,,
395,sample_396,CC(=O)Nc1ccccc1O,-2.24,25,298.15,0.997,,
396,sample_397,O=c1cc[nH]c(=S)[nH]1,-2.26,25,298.15,0.997,,
397,sample_398,Oc1ccc2ccccc2c1,-2.28,25,298.15,0.997,,
398,sample_399,O=C1NC(=O)C([N+](=O)[O-])C(=O)N1,-2.28,25,298.15,0.997,,
399,sample_400,CCCI,-2.29,25,298.15,0.997,,
400,sample_401,CCCCCCCC(=O)O,-2.30,25,298.15,0.997,,
401,sample_402,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.30,25,298.15,0.997,,
402,sample_403,Fc1cc(F)c(F)c(F)c1,-2.31,25,298.15,0.997,,
403,sample_404,ClC(Cl)(Cl)Cl,-2.31,25,298.15,0.997,,
404,sample_405,CCOC(=O)c1ccccc1,-2.32,25,298.15,0.997,,
405,sample_406,CC1(C)C2CCC1(C)C(O)C2,-2.32,25,298.15,0.997,,
406,sample_407,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32,25,298.15,0.997,,
407,sample_408,CCCOC(=O)c1ccc(N)cc1,-2.33,25,298.15,0.997,,
408,sample_409,NNC(=O)Nc1ccccc1,-2.33,25,298.15,0.997,,
409,sample_410,COC(=O)c1ccccc1O,-2.34,25,298.15,0.997,,
410,sample_411,Oc1c(Cl)cc(Cl)cc1Cl,-2.34,25,298.15,0.997,,
411,sample_412,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34,25,298.15,0.997,,
412,sample_413,CCc1cccc(CC)c1N,-2.35,25,298.15,0.997,,
413,sample_414,CCOC(=O)c1ccccc1C(=O)OCC,-2.35,25,298.15,0.997,,
414,sample_415,CCOC(=O)c1ccc(O)cc1,-2.35,25,298.15,0.997,,
415,sample_416,CCCCCCCC=O,-2.36,25,298.15,0.997,,
416,sample_417,C#CCCCC,-2.36,25,298.15,0.997,,
417,sample_418,CN(C)C(=O)NC1CCCCCCC1,-2.36,25,298.15,0.997,,
418,sample_419,CSc1ncnc2nccnc12,-2.36,25,298.15,0.997,,
419,sample_420,S=c1ncc2nccnc2[nH]1,-2.36,25,298.15,0.997,,
420,sample_421,CCOc1ccc(NC(C)=O)cc1,-2.37,25,298.15,0.997,,
421,sample_422,CCCCBr,-2.37,25,298.15,0.997,,
422,sample_423,Clc1ccccc1,-2.38,25,298.15,0.997,,
423,sample_424,ClCC(Br)CBr,-2.38,25,298.15,0.997,,
424,sample_425,N#Cc1ccccc1C#N,-2.38,25,298.15,0.997,,
425,sample_426,Oc1ncnc2[nH]ncc12,-2.38,25,298.15,0.997,,
426,sample_427,ClCc1ccccc1,-2.39,25,298.15,0.997,,
427,sample_428,Oc1ccccc1-c1ccccc1,-2.39,25,298.15,0.997,,
428,sample_429,CSc1ccccc1,-2.39,25,298.15,0.997,,
429,sample_430,CCCC(Cl)Cl,-2.40,25,298.15,0.997,,
430,sample_431,COC(=O)c1ccc(OC)cc1,-2.41,25,298.15,0.997,,
431,sample_432,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41,25,298.15,0.997,,
432,sample_433,COc1ccc([N+](=O)[O-])cc1,-2.41,25,298.15,0.997,,
433,sample_434,Cc1c[nH]c2ccccc12,-2.42,25,298.15,0.997,,
434,sample_435,CC(C)CBr,-2.43,25,298.15,0.997,,
435,sample_436,Cc1cc(=O)[nH]c(=S)[nH]1,-2.43,25,298.15,0.997,,
436,sample_437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43,25,298.15,0.997,,
437,sample_438,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.43,25,298.15,0.997,,
438,sample_439,Cc1cccc([N+](=O)[O-])c1,-2.44,25,298.15,0.997,,
439,sample_440,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44,25,298.15,0.997,,
440,sample_441,Cc1cnc(S)nc1O,-2.45,25,298.15,0.997,,
441,sample_442,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-2.45,25,298.15,0.997,,
442,sample_443,Nc1cc(Cl)cc(C(=O)O)c1Cl,-2.47,25,298.15,0.997,,
443,sample_444,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.48,25,298.15,0.997,,
444,sample_445,O=C(O)C=Cc1ccccc1,-2.48,25,298.15,0.997,,
445,sample_446,CC(C)N(C(=O)CCl)c1ccccc1,-2.48,25,298.15,0.997,,
446,sample_447,O=C(O)COc1ccc(Cl)cc1Cl,-2.51,25,298.15,0.997,,
447,sample_448,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52,25,298.15,0.997,,
448,sample_449,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,25,298.15,0.997,,
449,sample_450,COc1cc(Cl)c(Cl)cc1O,-2.53,25,298.15,0.997,,
450,sample_451,CC=CCC,-2.54,25,298.15,0.997,,
451,sample_452,Fc1ccc(CCl)cc1,-2.54,25,298.15,0.997,,
452,sample_453,Oc1cccc2ncccc12,-2.54,25,298.15,0.997,,
453,sample_454,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54,25,298.15,0.997,,
454,sample_455,Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.55,25,298.15,0.997,,
455,sample_456,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,25,298.15,0.997,,
456,sample_457,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57,25,298.15,0.997,,
457,sample_458,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58,25,298.15,0.997,,
458,sample_459,CCCCCCCC(C)=O,-2.58,25,298.15,0.997,,
459,sample_460,C1=CCCCC1,-2.59,25,298.15,0.997,,
460,sample_461,O=C(O)c1cccc(Cl)c1,-2.59,25,298.15,0.997,,
461,sample_462,CCc1cccs1,-2.59,25,298.15,0.997,,
462,sample_463,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,-2.60,25,298.15,0.997,,
463,sample_464,ClC(Cl)C(Cl)(Cl)Cl,-2.60,25,298.15,0.997,,
464,sample_465,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.60,25,298.15,0.997,,
465,sample_466,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61,25,298.15,0.997,,
466,sample_467,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62,25,298.15,0.997,,
467,sample_468,CCCCCCCOC(N)=O,-2.62,25,298.15,0.997,,
468,sample_469,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62,25,298.15,0.997,,
469,sample_470,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63,25,298.15,0.997,,
470,sample_471,CCC(=O)c1ccc(N)cc1,-2.63,25,298.15,0.997,,
471,sample_472,CCCC(C)Cl,-2.63,25,298.15,0.997,,
472,sample_473,C1CCCC1,-2.64,25,298.15,0.997,,
473,sample_474,CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64,25,298.15,0.997,,
474,sample_475,CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64,25,298.15,0.997,,
475,sample_476,O=C(O)Cc1cccc2ccccc12,-2.65,25,298.15,0.997,,
476,sample_477,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,-2.68,25,298.15,0.997,,
477,sample_478,C=CCCC=C,-2.68,25,298.15,0.997,,
478,sample_479,C=CCCC,-2.68,25,298.15,0.997,,
479,sample_480,c1cnc2c(c1)ccc1ncccc12,-2.68,25,298.15,0.997,,
480,sample_481,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69,25,298.15,0.997,,
481,sample_482,CC(Cl)C(C)(C)Cl,-2.69,25,298.15,0.997,,
482,sample_483,CC(Cl)C(C)Cl,-2.70,25,298.15,0.997,,
483,sample_484,Nc1ccc(-c2ccc(N)cc2)cc1,-2.70,25,298.15,0.997,,
484,sample_485,NCCCCCCCCCCC(=O)O,-2.70,25,298.15,0.997,,
485,sample_486,CCCCCCC(=O)OCC,-2.71,25,298.15,0.997,,
486,sample_487,CCOc1ccc(C(=O)OCCN(CC)CC)cc1,-2.71,25,298.15,0.997,,
487,sample_488,CCCCOC(=O)c1ccc(O)cc1,-2.72,25,298.15,0.997,,
488,sample_489,O=C(O)c1ccccc1I,-2.73,25,298.15,0.997,,
489,sample_490,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,25,298.15,0.997,,
490,sample_491,CCCCCCl,-2.73,25,298.15,0.997,,
491,sample_492,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74,25,298.15,0.997,,
492,sample_493,CCCCCCCCC(=O)O,-2.75,25,298.15,0.997,,
493,sample_494,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75,25,298.15,0.997,,
494,sample_495,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76,25,298.15,0.997,,
495,sample_496,S=c1[nH]cnc2nccnc12,-2.77,25,298.15,0.997,,
496,sample_497,c1ccc2c(c1)cnc1ccccc12,-2.78,25,298.15,0.997,,
497,sample_498,Cc1cc(O)cc(C)c1Cl,-2.80,25,298.15,0.997,,
498,sample_499,Cc1ccccc1C,-2.80,25,298.15,0.997,,
499,sample_500,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,25,298.15,0.997,,
500,sample_501,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,25,298.15,0.997,,
501,sample_502,Cc1cccc(C)c1,-2.82,25,298.15,0.997,,
502,sample_503,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-2.82,25,298.15,0.997,,
503,sample_504,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82,25,298.15,0.997,,
504,sample_505,CC(=O)Nc1ccc(Cl)cc1,-2.84,25,298.15,0.997,,
505,sample_506,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85,25,298.15,0.997,,
506,sample_507,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-2.86,25,298.15,0.997,,
507,sample_508,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,-2.86,25,298.15,0.997,,
508,sample_509,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87,25,298.15,0.997,,
509,sample_510,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.87,25,298.15,0.997,,
510,sample_511,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88,25,298.15,0.997,,
511,sample_512,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,25,298.15,0.997,,
512,sample_513,CC(C)CCBr,-2.89,25,298.15,0.997,,
513,sample_514,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.91,25,298.15,0.997,,
514,sample_515,Oc1cccc2c(O)cccc12,-2.92,25,298.15,0.997,,
515,sample_516,C=CCc1ccc(OC)cc1,-2.92,25,298.15,0.997,,
516,sample_517,NC(=O)c1ccccc1C(N)=O,-2.92,25,298.15,0.997,,
517,sample_518,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,25,298.15,0.997,,
518,sample_519,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,-2.93,25,298.15,0.997,,
519,sample_520,CCCCI,-2.96,25,298.15,0.997,,
520,sample_521,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96,25,298.15,0.997,,
521,sample_522,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,25,298.15,0.997,,
522,sample_523,CCOC(=O)C=Cc1ccccc1,-3.00,25,298.15,0.997,,
523,sample_524,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.00,25,298.15,0.997,,
524,sample_525,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-3.00,25,298.15,0.997,,
525,sample_526,CCCCCCCCCO,-3.01,25,298.15,0.997,,
526,sample_527,CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01,25,298.15,0.997,,
527,sample_528,C#CCCCCC,-3.01,25,298.15,0.997,,
528,sample_529,CCCCc1c(C)nc(NCC)nc1O,-3.02,25,298.15,0.997,,
529,sample_530,CCN(CC)c1ccccc1,-3.03,25,298.15,0.997,,
530,sample_531,CC(C)Cc1ccc(C(C)C(=O)NO)cc1,-3.04,25,298.15,0.997,,
531,sample_532,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,25,298.15,0.997,,
532,sample_533,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05,25,298.15,0.997,,
533,sample_534,CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05,25,298.15,0.997,,
534,sample_535,Clc1ccccc1Cl,-3.05,25,298.15,0.997,,
535,sample_536,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.07,25,298.15,0.997,,
536,sample_537,CCCCCBr,-3.07,25,298.15,0.997,,
537,sample_538,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08,25,298.15,0.997,,
538,sample_539,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.09,25,298.15,0.997,,
539,sample_540,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,25,298.15,0.997,,
540,sample_541,CCc1ccc(C)cc1,-3.11,25,298.15,0.997,,
541,sample_542,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,25,298.15,0.997,,
542,sample_543,CCCCCCCl,-3.12,25,298.15,0.997,,
543,sample_544,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12,25,298.15,0.997,,
544,sample_545,CCCCN(CCCC)CCCC,-3.12,25,298.15,0.997,,
545,sample_546,FC(F)(Cl)C(F)(F)Cl,-3.12,25,298.15,0.997,,
546,sample_547,C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13,25,298.15,0.997,,
547,sample_548,CC=Cc1ccc(OC)cc1,-3.13,25,298.15,0.997,,
548,sample_549,Fc1ccc(I)cc1,-3.13,25,298.15,0.997,,
549,sample_550,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14,25,298.15,0.997,,
550,sample_551,BrC(Br)(Br)Br,-3.14,25,298.15,0.997,,
551,sample_552,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,-3.14,25,298.15,0.997,,
552,sample_553,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14,25,298.15,0.997,,
553,sample_554,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15,25,298.15,0.997,,
554,sample_555,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,25,298.15,0.997,,
555,sample_556,O=C(Oc1ccccc1)c1ccccc1O,-3.15,25,298.15,0.997,,
556,sample_557,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18,25,298.15,0.997,,
557,sample_558,Sc1nc2ccccc2s1,-3.18,25,298.15,0.997,,
558,sample_559,CCCCC,-3.18,25,298.15,0.997,,
559,sample_560,Cc1cccc(C)c1C,-3.20,25,298.15,0.997,,
560,sample_561,Clc1cccc(Br)c1,-3.21,25,298.15,0.997,,
561,sample_562,CCc1ccccc1C,-3.21,25,298.15,0.997,,
562,sample_563,O=C(O)C(c1ccccc1)c1ccccc1,-3.22,25,298.15,0.997,,
563,sample_564,IC=CI,-3.22,25,298.15,0.997,,
564,sample_565,C=CCCCC,-3.23,25,298.15,0.997,,
565,sample_566,Nc1ccc(Cl)c(Cl)c1,-3.24,25,298.15,0.997,,
566,sample_567,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,25,298.15,0.997,,
567,sample_568,CC(=O)Nc1ccc(I)cc1,-3.25,25,298.15,0.997,,
568,sample_569,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,25,298.15,0.997,,
569,sample_570,CCCCCOC(=O)c1ccc(N)cc1,-3.26,25,298.15,0.997,,
570,sample_571,COC(=O)c1cc(Cl)cc(N)c1Cl,-3.26,25,298.15,0.997,,
571,sample_572,CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27,25,298.15,0.997,,
572,sample_573,O=C(O)c1cccc(I)c1,-3.27,25,298.15,0.997,,
573,sample_574,CC1=CCCCC1,-3.27,25,298.15,0.997,,
574,sample_575,CC(C)c1ccccc1,-3.27,25,298.15,0.997,,
575,sample_576,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28,25,298.15,0.997,,
576,sample_577,CNC(=O)Oc1cccc2ccccc12,-3.28,25,298.15,0.997,,
577,sample_578,CC1CCCC1,-3.30,25,298.15,0.997,,
578,sample_579,Cc1occc1C(=O)Nc1ccccc1,-3.30,25,298.15,0.997,,
579,sample_580,O=C(O)c1cc(I)cc(I)c1O,-3.31,25,298.15,0.997,,
