,,SMILES,logS(mol/kg),T(?),T(K),Water density (g/cm^3),,
580,sample_581,O=C(O)c1ccc(Cl)cc1,-3.31,25,298.15,0.997,,
581,sample_582,CCCCCCCCC(C)=O,-3.31,25,298.15,0.997,,
582,sample_583,Cc1ccc(C)c(C)c1,-3.31,25,298.15,0.997,,
583,sample_584,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32,25,298.15,0.997,,
584,sample_585,N#Cc1cc(Br)c(O)c(Br)c1,-3.33,25,298.15,0.997,,
585,sample_586,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35,25,298.15,0.997,,
586,sample_587,c1ccc2c(c1)ccc1ncccc12,-3.36,25,298.15,0.997,,
587,sample_588,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,25,298.15,0.997,,
588,sample_589,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37,25,298.15,0.997,,
589,sample_590,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37,25,298.15,0.997,,
590,sample_591,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37,25,298.15,0.997,,
591,sample_592,CCCc1ccccc1,-3.37,25,298.15,0.997,,
592,sample_593,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,25,298.15,0.997,,
593,sample_594,CCCCCCCC(=O)OC,-3.39,25,298.15,0.997,,
594,sample_595,C=C(Cl)CSC(=S)N(CC)CC,-3.39,25,298.15,0.997,,
595,sample_596,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.39,25,298.15,0.997,,
596,sample_597,CN(C)CCC=C1c2ccccc2COc2ccccc21,-3.40,25,298.15,0.997,,
597,sample_598,C=CCCCCCCCCC(=O)O,-3.40,25,298.15,0.997,,
598,sample_599,Cc1cc(C)cc(C)c1,-3.40,25,298.15,0.997,,
599,sample_600,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,25,298.15,0.997,,
600,sample_601,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,25,298.15,0.997,,
601,sample_602,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,25,298.15,0.997,,
602,sample_603,CCCCCCCCCC(=O)O,-3.44,25,298.15,0.997,,
603,sample_604,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,25,298.15,0.997,,
604,sample_605,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48,25,298.15,0.997,,
605,sample_606,CCCCOC(=O)c1ccccc1,-3.48,25,298.15,0.997,,
606,sample_607,Oc1ccc(-c2ccccc2)cc1,-3.48,25,298.15,0.997,,
607,sample_608,Brc1ccccc1Br,-3.50,25,298.15,0.997,,
608,sample_609,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-3.51,25,298.15,0.997,,
609,sample_610,c1ccc(Nc2ccccc2)cc1,-3.51,25,298.15,0.997,,
610,sample_611,C1CCCCCC1,-3.52,25,298.15,0.997,,
611,sample_612,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.52,25,298.15,0.997,,
612,sample_613,Cc1cccc(Br)c1,-3.52,25,298.15,0.997,,
613,sample_614,Cc1ccccc1Cl,-3.52,25,298.15,0.997,,
614,sample_615,O=[N+]([O-])c1cccc2ccccc12,-3.54,25,298.15,0.997,,
615,sample_616,CCC(C)(C)C,-3.55,25,298.15,0.997,,
616,sample_617,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,25,298.15,0.997,,
617,sample_618,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-3.59,25,298.15,0.997,,
618,sample_619,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,-3.59,25,298.15,0.997,,
619,sample_620,Clc1ccc(Cl)c(Cl)c1,-3.59,25,298.15,0.997,,
620,sample_621,O=C(Nc1ccccc1)c1ccccc1O,-3.59,25,298.15,0.997,,
621,sample_622,c1ccc2ccccc2c1,-3.60,25,298.15,0.997,,
622,sample_623,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.60,25,298.15,0.997,,
623,sample_624,N#Cc1cc(I)c(O)c(I)c1,-3.61,25,298.15,0.997,,
624,sample_625,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61,25,298.15,0.997,,
625,sample_626,CCCCCCCCCCO,-3.63,25,298.15,0.997,,
626,sample_627,Clc1ccc(Br)cc1,-3.63,25,298.15,0.997,,
627,sample_628,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.64,25,298.15,0.997,,
628,sample_629,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-3.64,25,298.15,0.997,,
629,sample_630,CNCCCN1c2ccccc2CCc2ccccc21,-3.66,25,298.15,0.997,,
630,sample_631,C#CCCCCCC,-3.66,25,298.15,0.997,,
631,sample_632,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,25,298.15,0.997,,
632,sample_633,O=C(O)CCCOc1ccc(Cl)cc1Cl,-3.67,25,298.15,0.997,,
633,sample_634,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.68,25,298.15,0.997,,
634,sample_635,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,-3.68,25,298.15,0.997,,
635,sample_636,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.69,25,298.15,0.997,,
636,sample_637,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69,25,298.15,0.997,,
637,sample_638,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.70,25,298.15,0.997,,
638,sample_639,Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1,-3.70,25,298.15,0.997,,
639,sample_640,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-3.71,25,298.15,0.997,,
640,sample_641,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73,25,298.15,0.997,,
641,sample_642,CCCC(C)C,-3.74,25,298.15,0.997,,
642,sample_643,CCc1ccc(CC)cc1,-3.75,25,298.15,0.997,,
643,sample_644,O=NN(c1ccccc1)c1ccccc1,-3.75,25,298.15,0.997,,
644,sample_645,COC(=O)C(Cl)Cc1ccc(Cl)cc1,-3.77,25,298.15,0.997,,
645,sample_646,Cc1ccc2ccccc2c1,-3.77,25,298.15,0.997,,
646,sample_647,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,25,298.15,0.997,,
647,sample_648,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79,25,298.15,0.997,,
648,sample_649,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.80,25,298.15,0.997,,
649,sample_650,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81,25,298.15,0.997,,
650,sample_651,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,25,298.15,0.997,,
651,sample_652,CCCCCCBr,-3.81,25,298.15,0.997,,
652,sample_653,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,-3.82,25,298.15,0.997,,
653,sample_654,CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1,-3.84,25,298.15,0.997,,
654,sample_655,CCC(C)c1ccccc1,-3.89,25,298.15,0.997,,
655,sample_656,Clc1cccc2ccccc12,-3.93,25,298.15,0.997,,
656,sample_657,CCCCCCOC(=O)c1ccc(N)cc1,-3.95,25,298.15,0.997,,
657,sample_658,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.95,25,298.15,0.997,,
658,sample_659,C1=Cc2cccc3cccc1c23,-3.96,25,298.15,0.997,,
659,sample_660,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.96,25,298.15,0.997,,
660,sample_661,Cc1ccnc2c1ccc1c(C)ccnc12,-3.97,25,298.15,0.997,,
661,sample_662,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,-3.98,25,298.15,0.997,,
662,sample_663,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.99,25,298.15,0.997,,
663,sample_664,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.00,25,298.15,0.997,,
664,sample_665,C=C(C)C1CC=C(C)CC1,-4.00,25,298.15,0.997,,
665,sample_666,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,25,298.15,0.997,,
666,sample_667,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.04,25,298.15,0.997,,
667,sample_668,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,25,298.15,0.997,,
668,sample_669,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.08,25,298.15,0.997,,
669,sample_670,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.08,25,298.15,0.997,,
670,sample_671,CCCCCCCCCC(=O)OCC,-4.10,25,298.15,0.997,,
671,sample_672,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.10,25,298.15,0.997,,
672,sample_673,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,25,298.15,0.997,,
673,sample_674,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,-4.11,25,298.15,0.997,,
674,sample_675,CC(C)Cc1ccccc1,-4.12,25,298.15,0.997,,
675,sample_676,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12,25,298.15,0.997,,
676,sample_677,Cc1ccc(C)c2ccccc12,-4.14,25,298.15,0.997,,
677,sample_678,Clc1ccc2ccccc2c1,-4.14,25,298.15,0.997,,
678,sample_679,CCC(C)(C)c1ccccc1,-4.15,25,298.15,0.997,,
679,sample_680,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.15,25,298.15,0.997,,
680,sample_681,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.16,25,298.15,0.997,,
681,sample_682,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-4.16,25,298.15,0.997,,
682,sample_683,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16,25,298.15,0.997,,
683,sample_684,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.16,25,298.15,0.997,,
684,sample_685,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.16,25,298.15,0.997,,
685,sample_686,CCc1cccc2ccccc12,-4.17,25,298.15,0.997,,
686,sample_687,c1ccc(Cc2ccccc2)cc1,-4.17,25,298.15,0.997,,
687,sample_688,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,-4.18,25,298.15,0.997,,
688,sample_689,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.19,25,298.15,0.997,,
689,sample_690,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,25,298.15,0.997,,
690,sample_691,O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.19,25,298.15,0.997,,
691,sample_692,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.20,25,298.15,0.997,,
692,sample_693,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-4.21,25,298.15,0.997,,
693,sample_694,O=C(Nc1ccccc1)c1ccccc1I,-4.21,25,298.15,0.997,,
694,sample_695,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,-4.22,25,298.15,0.997,,
695,sample_696,Nc1cccc2nc3ccccc3cc12,-4.22,25,298.15,0.997,,
696,sample_697,CCOP(=S)(OCC)SCCSCC,-4.23,25,298.15,0.997,,
697,sample_698,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24,25,298.15,0.997,,
698,sample_699,N#Cc1c(Cl)cccc1Cl,-4.24,25,298.15,0.997,,
699,sample_700,C#CCCCCCCC,-4.24,25,298.15,0.997,,
700,sample_701,CCC1CCCCC1,-4.25,25,298.15,0.997,,
701,sample_702,CC(C)CC(C)C,-4.26,25,298.15,0.997,,
702,sample_703,CC1CCCCC1C,-4.27,25,298.15,0.997,,
703,sample_704,Cc1cc(C)c2ccccc2c1,-4.29,25,298.15,0.997,,
704,sample_705,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.30,25,298.15,0.997,,
705,sample_706,COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.31,25,298.15,0.997,,
706,sample_707,CCCCCCCCCCCCCCC(=O)O,-4.31,25,298.15,0.997,,
707,sample_708,c1ccc(-c2ccccc2)cc1,-4.31,25,298.15,0.997,,
708,sample_709,CC1CCCCC1C,-4.33,25,298.15,0.997,,
709,sample_710,Brc1cccc2ccccc12,-4.35,25,298.15,0.997,,
710,sample_711,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,-4.35,25,298.15,0.997,,
711,sample_712,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.35,25,298.15,0.997,,
712,sample_713,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,-4.36,25,298.15,0.997,,
713,sample_714,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37,25,298.15,0.997,,
714,sample_715,O=C(Nc1cccc(Cl)c1)OCC#CCCl,-4.37,25,298.15,0.997,,
715,sample_716,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.40,25,298.15,0.997,,
716,sample_717,Brc1ccc2ccccc2c1,-4.40,25,298.15,0.997,,
717,sample_718,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.40,25,298.15,0.997,,
718,sample_719,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.40,25,298.15,0.997,,
719,sample_720,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.43,25,298.15,0.997,,
720,sample_721,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43,25,298.15,0.997,,
721,sample_722,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.44,25,298.15,0.997,,
722,sample_723,C=CCCCCCC,-4.44,25,298.15,0.997,,
723,sample_724,c1ccc(N=Nc2ccccc2)cc1,-4.45,25,298.15,0.997,,
724,sample_725,CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-4.46,25,298.15,0.997,,
725,sample_726,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46,25,298.15,0.997,,
726,sample_727,CC1CCC(C)CC1,-4.47,25,298.15,0.997,,
727,sample_728,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.49,25,298.15,0.997,,
728,sample_729,Brc1ccc(Br)c(Br)c1,-4.50,25,298.15,0.997,,
729,sample_730,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.51,25,298.15,0.997,,
730,sample_731,CCCCCCC,-4.53,25,298.15,0.997,,
731,sample_732,Clc1ccccc1-c1ccccc1,-4.54,25,298.15,0.997,,
732,sample_733,CCNc1nc(Cl)nc(NCC)n1,-4.55,25,298.15,0.997,,
733,sample_734,Clc1ccc(Cl)c(Cl)c1Cl,-4.57,25,298.15,0.997,,
734,sample_735,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.57,25,298.15,0.997,,
735,sample_736,CCCCCCCOC(=O)c1ccc(N)cc1,-4.60,25,298.15,0.997,,
736,sample_737,S=C=Nc1cccc2ccccc12,-4.60,25,298.15,0.997,,
737,sample_738,c1ccc2c(c1)oc1ccccc12,-4.60,25,298.15,0.997,,
738,sample_739,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.61,25,298.15,0.997,,
739,sample_740,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.62,25,298.15,0.997,,
740,sample_741,CCCCCCCCCCCC(=O)O,-4.62,25,298.15,0.997,,
741,sample_742,CCCCCCCCCC(=O)OC,-4.63,25,298.15,0.997,,
742,sample_743,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,25,298.15,0.997,,
743,sample_744,c1cc2c3c(cccc3c1)CC2,-4.63,25,298.15,0.997,,
744,sample_745,CCCCCc1ccccc1,-4.64,25,298.15,0.997,,
745,sample_746,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,-4.66,25,298.15,0.997,,
746,sample_747,CCCCCCCCCCCCO,-4.67,25,298.15,0.997,,
747,sample_748,CCCCCCCCCCCC(=O)OC,-4.69,25,298.15,0.997,,
748,sample_749,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.70,25,298.15,0.997,,
749,sample_750,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.70,25,298.15,0.997,,
750,sample_751,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.71,25,298.15,0.997,,
751,sample_752,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71,25,298.15,0.997,,
752,sample_753,CCCC1CCCC1,-4.74,25,298.15,0.997,,
753,sample_754,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,-4.74,25,298.15,0.997,,
754,sample_755,Cc1cccc2c(C)cccc12,-4.74,25,298.15,0.997,,
755,sample_756,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,25,298.15,0.997,,
756,sample_757,CCCCCCCI,-4.81,25,298.15,0.997,,
757,sample_758,Cc1cccc(Oc2cccc(C)c2)c1,-4.85,25,298.15,0.997,,
758,sample_759,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,25,298.15,0.997,,
759,sample_760,Clc1cccc(-c2ccccc2)c1,-4.88,25,298.15,0.997,,
760,sample_761,CC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.90,25,298.15,0.997,,
761,sample_762,c1ccc2c(c1)Cc1ccccc1-2,-4.91,25,298.15,0.997,,
762,sample_763,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,-4.92,25,298.15,0.997,,
763,sample_764,Cc1ccc(C)c2c(C)cccc12,-4.92,25,298.15,0.997,,
764,sample_765,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93,25,298.15,0.997,,
765,sample_766,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.95,25,298.15,0.997,,
766,sample_767,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.95,25,298.15,0.997,,
767,sample_768,c1ccc2c(c1)[nH]c1ccccc12,-4.97,25,298.15,0.997,,
768,sample_769,Clc1cc(Cl)c2nsnc2c1Cl,-4.98,25,298.15,0.997,,
769,sample_770,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-5.01,25,298.15,0.997,,
770,sample_771,O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21,-5.03,25,298.15,0.997,,
771,sample_772,Brc1cccc(Br)c1Br,-5.04,25,298.15,0.997,,
772,sample_773,C=CCCCCCCC,-5.05,25,298.15,0.997,,
773,sample_774,CCCCCCCCBr,-5.06,25,298.15,0.997,,
774,sample_775,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.06,25,298.15,0.997,,
775,sample_776,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-5.09,25,298.15,0.997,,
776,sample_777,CCCCSP(=O)(SCCCC)SCCCC,-5.14,25,298.15,0.997,,
777,sample_778,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.15,25,298.15,0.997,,
778,sample_779,Nc1ccc2cc3ccccc3cc2c1,-5.17,25,298.15,0.997,,
779,sample_780,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-5.18,25,298.15,0.997,,
780,sample_781,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,25,298.15,0.997,,
781,sample_782,O=C1c2ccccc2C(=O)c2ccccc21,-5.19,25,298.15,0.997,,
782,sample_783,Clc1cccc(Cl)c1-c1ccccc1,-5.21,25,298.15,0.997,,
783,sample_784,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,-5.22,25,298.15,0.997,,
784,sample_785,Cc1cccc2c1Cc1ccccc1-2,-5.22,25,298.15,0.997,,
785,sample_786,CCCCCCCC,-5.24,25,298.15,0.997,,
786,sample_787,Clc1ccc(-c2ccccc2)c(Cl)c1,-5.25,25,298.15,0.997,,
787,sample_788,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,25,298.15,0.997,,
788,sample_789,Clc1ccccc1-c1ccccc1Cl,-5.27,25,298.15,0.997,,
789,sample_790,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.28,25,298.15,0.997,,
790,sample_791,Clc1ccc(-c2ccccc2Cl)cc1,-5.28,25,298.15,0.997,,
791,sample_792,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,-5.30,25,298.15,0.997,,
792,sample_793,c1ccc2c(c1)Oc1ccccc1O2,-5.31,25,298.15,0.997,,
793,sample_794,CCCCCCCCCCCCCC(=O)O,-5.33,25,298.15,0.997,,
794,sample_795,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,25,298.15,0.997,,
795,sample_796,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.37,25,298.15,0.997,,
796,sample_797,CCCCCCCCOC(=O)c1ccc(N)cc1,-5.40,25,298.15,0.997,,
797,sample_798,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.40,25,298.15,0.997,,
798,sample_799,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.40,25,298.15,0.997,,
799,sample_800,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41,25,298.15,0.997,,
800,sample_801,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,25,298.15,0.997,,
801,sample_802,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,25,298.15,0.997,,
802,sample_803,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,25,298.15,0.997,,
803,sample_804,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47,25,298.15,0.997,,
804,sample_805,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-5.51,25,298.15,0.997,,
805,sample_806,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.53,25,298.15,0.997,,
806,sample_807,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,25,298.15,0.997,,
807,sample_808,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)C=Cc1ccccc1,-5.54,25,298.15,0.997,,
808,sample_809,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,-5.64,25,298.15,0.997,,
809,sample_810,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64,25,298.15,0.997,,
810,sample_811,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,25,298.15,0.997,,
811,sample_812,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,25,298.15,0.997,,
812,sample_813,CCCCCCCCCCCCCCCCCC(=O)O,-5.68,25,298.15,0.997,,
813,sample_814,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.69,25,298.15,0.997,,
814,sample_815,CC12CCC3C(CCC4CCCCC43C)C1CCC2=O,-6.70,25,298.15,0.997,,
815,sample_816,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,25,298.15,0.997,,
816,sample_817,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82,25,298.15,0.997,,
817,sample_818,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.00,25,298.15,0.997,,
818,sample_819,Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,25,298.15,0.997,,
819,sample_820,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-6.02,25,298.15,0.997,,
820,sample_821,CCCCCCCCCCCCCCO,-6.05,25,298.15,0.997,,
821,sample_822,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.14,25,298.15,0.997,,
822,sample_823,c1cc2ccc3cccc4ccc(c1)c2c34,-6.19,25,298.15,0.997,,
